participant,trial,presented_words,recalled_words,serial_position_score,presentation_start_time,presentation_end_time,recall_start_time
Nanna,1,give sign club dive wild bark week bank undo safe size that tear easy knot,bark bank dive wild give safe save card knot,1 0 0 1 1 1 0 1 0 1 0 0 0 0 1,1789113890.4615622,1789113913.316136,1789113943.315593
Nanna,2,visa real used nine fold wind deep pipe luck boat oval late tear move ship,ship tear move luck pipe dive boat visa used nine,1 0 1 1 0 0 0 1 1 1 0 0 1 1 1,1789113957.116011,1789113979.676138,1789114009.676497
Nanna,3,lava sign skin part rule unit walk node cool once weak mast area mill clip,lava sign skin cold weak walk unit node mill clip,1 1 1 0 0 1 1 1 0 0 1 0 0 1 1,1789114029.4536278,1789114052.0165482,1789114082.01648
Nanna,4,moon play ball lazy pair then have nice side lake beef farm cart bone rule,moon lake pair ball then beef cart bone lake side farm rule,1 0 1 0 1 1 0 0 1 1 1 1 1 1 1,1789114094.530059,1789114117.096719,1789114147.096838
Nanna,5,roll mean mist wing roof soil hope mind stem knee wild flag slip high nose,high nose seed stem wild moon knee soil,0 0 0 0 0 1 0 0 1 1 1 0 0 1 1,1789114165.542565,1789114188.10631,1789114218.105403
