participant,trial,presented_words,recalled_words,serial_position_score,presentation_start_time,presentation_end_time,recall_start_time
Nanna,1,door dark date acid purr dust lava milk look code band bite five line week,week dark door purr meow king acid,1 1 0 1 1 0 0 0 0 0 0 0 0 0 1,1788879650.98392,1788879673.8460522,1788879693.056423
Nanna,2,visa rent come cool tube cast cook that fair jerk head term part full spot,spot meal full jerk rent loan week with then head,0 1 0 0 0 0 0 0 0 1 1 0 0 1 1,1788879726.432068,1788879748.994024,1788879763.936361
