participant,trial,presented_words,recalled_words,serial_position_score,presentation_start_time,presentation_end_time,recall_start_time
Nanna,1,down farm axis swim self band lens plan fish than cake long stem upon open,open upon lens fish axis down band,1 0 1 0 0 1 1 0 1 0 0 0 0 1 1,1788880479.3506298,1788880501.910923,1788880514.038361
Nanna,2,song that neck very play over beak lime card hate thin edge sill load rest,rest soil sill down open,0 0 0 0 0 0 0 0 0 0 0 0 1 0 1,1788880535.824032,1788880558.3877702,1788880570.16765
