participant,trial,presented_words,recalled_words,serial_position_score,presentation_start_time,presentation_end_time,recall_start_time
Nanna,1,wash soil once germ wood sail able rent used cell tame doll self time tear,tear self used doll loan debt sail,0 0 0 0 0 1 0 0 1 0 0 1 1 0 1,1788880622.141601,1788880644.701663,1788880650.447574
Nanna,2,wood whip jury host tray copy spot cost ship bath foot many cook undo card,card cook foot bath sail cost jury wood whip,1 1 1 0 0 0 0 1 0 1 1 0 1 0 1,1788880668.484683,1788880691.0338418,1788880700.066976
