participant,trial,presented_words,recalled_words,serial_position_score,presentation_start_time,presentation_end_time,recall_start_time
Nanna,1,coal army need star duty long soil cast make from spot navy girl visa seed,seed girl navy army star soil need coal from duty visa,1 1 1 1 1 0 1 0 0 1 0 1 1 1 1,1788880278.7757282,1788880301.339256,1788880308.9600909
Nanna,2,edge hole melt deep wild hard name work taxi loan claw kiss post beer dear,dear kiss loan debt,0 0 0 0 0 0 0 0 0 1 0 1 0 0 1,1788880349.042482,1788880371.605938,1788880390.394146
